date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-09-23,11.8,8.5,16.2,0,,237,14.1,,1018.4,
2022-09-24,11.4,10,13,3.6,,293,13.9,,1021.2,
2022-09-25,11.3,7,14,0,,219,12,,1022.7,
2022-09-26,9.7,5,14.7,0,,173,13.3,,1020.2,
2022-09-27,10.4,5.2,15,0,,228,14.3,,1019.1,
2022-09-28,11.3,9.9,13,0,,326,10.8,,1020.4,
2022-09-29,11.3,10.4,13,0,,253,8.9,,1020.3,
2022-09-30,12.1,10,16,0,,188,12.2,,1019.2,
2022-10-01,12,10,14.6,0,,280,8.1,,1017.7,
2022-10-02,10.4,10,11.5,0,,254,6.6,,1017.1,
2022-10-03,10.1,6.6,12.5,0.9,,267,6.9,,1017.7,
2022-10-04,10.1,5.2,14.5,0,,257,9.4,,1018.6,
2022-10-05,11.6,9,15.1,0,,204,14.1,,1021.7,
2022-10-06,12.1,6.7,17,0,,190,12.7,,1022.9,
2022-10-07,11.4,6,17,0,,217,16.3,,1018,
2022-10-08,11.2,5.7,16.1,0,,190,14,,1020.1,
2022-10-09,11.1,4,16.5,0,,204,15.3,,1015.3,
2022-10-10,11.8,9.7,14,0,,319,13.7,,1019.2,
2022-10-11,11.3,9,14,0,,220,12.6,,1022.7,
2022-10-12,11.1,4.2,17.2,0,,192,13.4,,1021,
2022-10-13,11.5,6,16.7,0,,205,16.4,,1020.3,
2022-10-14,12,5.6,20,0,,202,13.5,,1018.5,
2022-10-15,9.5,4.7,12.3,0,,331,9.6,,1018.1,
2022-10-16,10.7,8.3,14,0,,234,10,,1018,
2022-10-17,11.2,8,14.2,0,,287,8.5,,1017.4,
2022-10-18,12.9,10,16,0,,319,9.3,,1018.2,
2022-10-19,12.1,7,16,0,,179,10.6,,1021.2,
2022-10-20,11.7,5.3,16.5,0,,177,11.3,,1020.8,
2022-10-21,11.6,6.6,16,0,,245,11.5,,1017.8,
2022-10-22,10.5,7,13,0,,327,9.5,,1017.4,
2022-10-23,11.4,9.1,14.1,0,,249,12.7,,1019.8,
2022-10-24,10.6,3,16,0,,184,14,,1017.6,
2022-10-25,12.5,9.2,15.1,0.2,,312,10.1,,1018.6,
2022-10-26,13.1,7,18,0,,176,16.4,,1020,
2022-10-27,11.2,6,16.2,0,,167,14.7,,1017.2,
2022-10-28,12.1,7.2,16.1,0,,199,16.3,,1020.1,
2022-10-29,12.5,8.5,15.5,0,,217,14.6,,1017.8,
2022-10-30,12.8,8.6,19,0,,213,22.9,,1019.1,
2022-10-31,12.8,4,23,0,,225,10.9,,1016.2,
2022-11-01,12.9,5,21,0,,237,9.6,,1015.1,
2022-11-02,12.4,7,16,0,,280,9.6,,1017,
2022-11-03,12.3,7.3,15.2,0,,278,11.1,,1017.5,
2022-11-04,13.7,12,17,0,,244,10.4,,1017.8,
2022-11-05,14,12,16.7,0,,234,17,,1019.1,
2022-11-06,12.1,7.2,16,0,,228,17.4,,1018.3,
2022-11-07,13.1,11.2,17.7,0,,287,13.4,,1017.5,
2022-11-08,13.2,12.6,14,0,,311,10.7,,1016.4,
2022-11-09,13.6,12,16,0.1,,344,13,,1017.7,
2022-11-10,13.4,8.2,17,0,,202,10.9,,1018.1,
2022-11-11,15.1,13,17.3,0,,346,15.6,,1017.2,
2022-11-12,14.8,12,18,1.4,,333,16.2,,1017.2,
2022-11-13,13.3,6.9,18.1,0,,176,14.7,,1019.6,
2022-11-14,14.6,7,20.4,0,,195,16.3,,1016.4,
2022-11-15,14.9,9,19.6,0,,265,14.7,,1014.4,
2022-11-16,15,11,17.2,0,,352,17.8,,1017.2,
